Date,Open,High,Low,Close,Adj Close,Volume
1999-06-21,82.645447,86.182579,76.974800,77.676613,41.675816,39825849
1999-06-28,79.080238,83.347260,75.655396,82.645447,44.341743,29206858
1999-07-05,83.010391,93.172630,83.010391,92.807693,49.794086,47196615
1999-07-12,93.200706,97.916885,85.003532,88.456451,47.459526,55544357
1999-07-19,89.775864,89.972366,81.129532,81.747124,43.859776,24047235
1999-07-26,81.410255,84.610519,77.143234,77.957336,41.826439,20870401
1999-08-02,78.013481,78.883728,73.072723,74.869362,40.169643,14921729
1999-08-09,75.683464,83.319183,74.448273,77.452034,41.555328,29941735
1999-08-16,78.490715,83.880638,75.851898,81.466400,43.709156,35567338
1999-08-23,82.420868,94.295532,82.420868,92.919983,49.854332,35421221
1999-08-30,94.885056,98.141464,87.305481,88.400307,47.429394,31200237
1999-09-06,88.765251,93.200706,85.621132,86.379089,46.344948,22981587
1999-09-13,86.379089,87.024757,78.687225,80.146996,43.001244,16177555
1999-09-20,80.287354,81.690979,76.553711,79.978554,42.910873,16548868
1999-09-27,80.511932,84.105217,75.655396,79.725906,42.775322,22317310
1999-10-04,80.511932,89.130196,77.788902,88.624886,47.549873,28538275
1999-10-11,90.982979,91.881294,80.624222,80.904953,43.407917,24111031
1999-10-18,80.624222,91.460213,78.041557,90.926834,48.784950,39775748
1999-10-25,91.263702,96.569405,81.241821,83.347260,44.718285,47445212
1999-11-01,83.234970,83.936783,73.156937,79.894341,42.865692,27573394
1999-11-08,79.725906,81.803268,77.648537,78.911804,42.338539,7876196
1999-11-15,79.585541,80.848808,77.059013,79.164452,42.474083,10791256
1999-11-22,79.529396,87.951149,77.564323,82.336647,44.176064,23191079
1999-11-29,82.533157,83.038460,78.069626,79.669762,42.745193,12489203
1999-12-06,80.175064,86.463303,79.501328,81.017242,43.468147,14830180
1999-12-13,81.662910,81.943634,77.480103,78.406494,42.067413,10044713
1999-12-20,77.536247,86.154510,77.536247,81.185677,43.558540,15458774
1999-12-27,80.708443,81.971703,77.788902,79.922409,42.880749,5670140
2000-01-03,83.094604,100.499557,80.315430,96.541336,51.797298,24224316
2000-01-10,97.664230,103.812111,87.586205,89.102119,47.805939,21038902
2000-01-17,92.611183,100.499557,89.326698,91.179489,48.920509,36535311
2000-01-24,92.021660,92.021660,80.427719,81.129532,43.528419,15922591
2000-01-31,80.343498,82.083992,77.816978,78.659149,42.202969,16606029
2000-02-07,78.603004,84.357864,77.536247,78.715294,42.233097,15492852
2000-02-14,78.041557,78.883728,73.128868,74.785149,40.124454,8994143
2000-02-21,75.234306,77.901192,70.321617,72.146332,38.708645,7792189
2000-02-28,72.539345,76.272987,59.569847,59.766357,32.066429,20280013
2000-03-06,61.141911,63.163128,50.811230,51.597260,27.683464,12547858
2000-03-13,52.383289,62.826260,50.025200,61.226128,32.849640,12614260
2000-03-20,61.226128,63.668434,57.885498,59.429485,31.885685,9621191
2000-03-27,60.019009,65.128204,56.762596,64.650970,34.687164,16092349
2000-04-03,65.549294,69.844383,61.310345,69.198715,37.127167,29164595
2000-04-10,69.619804,70.630417,61.927940,62.994694,34.981846,12725671
2000-04-17,61.759502,67.935455,58.446949,65.184349,36.197792,19238353
2000-04-24,65.408928,65.970383,59.794430,60.692749,33.703545,13465109
2000-05-01,60.692749,61.198055,55.022102,60.159370,33.407352,6694739
2000-05-08,60.355881,62.320953,55.583553,56.285366,31.256062,4680915
2000-05-15,55.302830,64.847481,55.022102,63.724579,35.387161,13902762
2000-05-22,63.443855,67.907379,62.826260,63.949158,35.511871,21594723
2000-05-29,64.510612,75.009727,63.921085,75.009727,41.653980,33924402
2000-06-05,75.795753,79.445183,72.146332,74.476349,41.357773,22705412
2000-06-12,75.093941,75.402740,69.423294,73.185013,40.640675,17676340
2000-06-19,73.549957,73.549957,67.738945,69.254860,38.458202,9285797
2000-06-26,69.619804,69.844383,66.194962,66.503754,36.930477,7082030
2000-07-03,67.317856,76.750221,66.812553,75.767685,42.074871,20796715
2000-07-10,75.795753,81.241821,74.448273,77.508179,43.041393,27434108
2000-07-17,77.816978,81.803268,69.956673,70.630417,39.222073,34874913
2000-07-24,68.047745,69.058357,61.759502,66.363396,36.852539,18793960
2000-07-31,66.812553,67.879311,63.443855,63.864941,35.465107,13827183
2000-08-07,63.949158,64.117592,59.345268,60.187443,33.422939,10736765
2000-08-14,60.636604,61.591068,58.390804,59.794430,33.204697,9394799
2000-08-21,60.075153,64.454468,59.710213,61.843719,34.342693,10643886
2000-08-28,62.040230,62.826260,60.917328,61.198055,33.984150,4972990
2000-09-04,61.619141,64.819405,61.478779,62.629749,34.779190,9603919
2000-09-11,63.163128,63.921085,58.531166,58.924183,32.721432,5555193
2000-09-18,57.829353,58.334660,53.337753,53.646549,29.790693,7712538
2000-09-25,54.601017,57.211758,52.635941,52.944736,29.400970,4396678
2000-10-02,52.944736,56.369583,52.495579,54.376434,30.196005,4455123
2000-10-09,53.955349,54.460651,47.751324,50.390141,27.982365,7100013
2000-10-16,51.484966,58.896107,48.846153,57.436337,31.895208,15774968
2000-10-23,56.762596,57.492481,53.225464,55.780060,30.975456,9657139
2000-10-30,55.723915,60.355881,53.421970,59.317196,32.939682,16451286
2000-11-06,59.906719,61.113834,56.987179,57.183685,31.754915,14804796
2000-11-13,56.369583,62.826260,55.330902,60.608532,33.656773,16826101
2000-11-20,60.692749,65.324715,60.271660,65.072060,36.135433,23734690
2000-11-27,65.633507,70.574272,65.240494,68.805702,38.208782,39412032
2000-12-04,69.507515,74.616707,69.114502,73.437660,40.780975,36429199
2000-12-11,73.802605,74.335983,68.805702,69.142570,38.395851,21932249
2000-12-18,65.970383,72.539345,65.970383,68.496902,38.037304,16470243
2000-12-25,68.496902,73.381516,66.812553,73.044647,40.562729,13001817
2001-01-01,73.381516,77.985413,72.988503,74.700928,41.482487,28286973
2001-01-08,74.167549,75.093941,70.209328,71.837532,39.892403,19525645
2001-01-15,72.314766,75.178162,69.282936,71.472588,39.689743,28388393
2001-01-22,71.865601,74.785149,71.472588,73.269226,40.687439,18110392
2001-01-29,73.016579,80.427719,69.675949,80.062775,44.459999,40303925
2001-02-05,80.511932,92.386604,80.034698,91.432137,50.773560,62582672
2001-02-12,91.460213,91.797081,85.958000,86.182579,47.858410,34950472
2001-02-19,86.715958,90.814545,84.778954,85.340408,47.390736,40573028
2001-02-26,85.901855,95.137711,82.841949,88.203796,48.980816,53563452
2001-03-05,88.961761,89.775864,77.985413,79.725906,44.272926,17865285
2001-03-12,78.097702,82.392792,61.198055,70.518127,39.159718,20075394
2001-03-19,67.935455,77.929268,67.935455,74.813217,41.544846,11685748
2001-03-26,73.549957,75.683464,68.019669,68.693413,38.146420,6398112
2001-04-02,68.019669,70.798851,64.566757,69.311005,38.489384,7517347
2001-04-09,68.917992,72.427055,63.500000,64.566757,35.854836,6807877
2001-04-16,64.033379,79.669762,64.033379,75.206230,41.763096,14644391
2001-04-23,75.739609,83.824493,71.023430,73.185013,40.640675,18087574
2001-04-30,73.549957,79.641685,73.044647,76.806366,42.651661,10714458
2001-05-07,77.732758,79.276749,74.392128,74.672852,41.466888,9787529
2001-05-14,74.420204,80.287354,66.587975,79.501328,44.148220,22710304
2001-05-21,80.680367,82.505081,78.603004,78.771439,43.742889,21161981
2001-05-28,79.108307,82.757736,78.322281,79.557472,45.801250,22803388
2001-06-04,80.006630,80.989166,72.707779,74.167549,42.698273,18328949
2001-06-11,74.504417,75.037796,69.367149,69.647881,40.096298,11296617
2001-06-18,69.479439,70.995354,65.745796,66.194962,38.108448,10751647
2001-06-25,65.717728,68.160034,63.359634,64.707115,37.251900,12005495
2001-07-02,65.914230,71.304153,56.229221,57.043324,32.839851,13098937
2001-07-09,56.088860,60.187443,54.320290,56.959106,32.791370,15822640
2001-07-16,57.492481,59.317196,51.737621,52.242928,30.076262,15398108
2001-07-23,51.934128,52.776302,50.137489,50.446285,29.041939,6178311
2001-07-30,50.249779,53.478115,50.193634,52.186783,30.043932,6457166
2001-08-06,52.467506,53.057030,50.867374,51.597260,29.704550,3173077
2001-08-13,51.653404,51.849911,50.530502,50.670864,29.171227,2378902
2001-08-20,50.727009,50.755081,48.509281,48.733864,28.056095,2997511
2001-08-27,49.126877,49.379532,44.775639,44.972149,25.890472,6979622
2001-09-03,44.972149,48.228558,44.073826,47.246021,27.199541,10140773
2001-09-10,47.723251,48.537354,42.277187,42.950928,24.726856,5334039
2001-09-17,44.354553,44.354553,39.245358,39.834881,22.932947,7187841
2001-09-24,40.985851,41.743809,37.055702,38.908485,22.399626,5876847
2001-10-01,39.301502,40.705128,38.768124,40.480549,23.304657,2736715
2001-10-08,39.301502,41.771881,38.852341,40.199821,23.143042,4288060
2001-10-15,40.368256,45.449379,39.778736,44.298409,25.502602,8200103
2001-10-22,44.916004,46.038902,43.933464,44.916004,25.858152,5110470
2001-10-29,45.056366,45.421307,41.041996,43.231651,24.888466,4568445
2001-11-05,43.708885,47.246021,43.231651,46.207336,26.601570,5708338
2001-11-12,46.628426,48.705791,46.600353,47.947834,27.603575,5047809
2001-11-19,48.846153,52.607868,48.032051,50.839298,29.268196,9698969
2001-11-26,52.130634,55.302830,50.249779,50.418213,29.025774,7039795
2001-12-03,50.670864,53.758842,50.193634,52.383289,30.157068,8580901
2001-12-10,50.811230,55.246681,50.586647,51.597260,29.704550,5749370
2001-12-17,51.597260,52.579796,48.902298,50.390141,29.009617,4263600
2001-12-24,49.969051,49.969051,44.438770,47.610962,27.409632,4090116
2001-12-31,48.565430,53.899204,47.554817,53.506187,30.803522,3497256
2002-01-07,54.236073,59.261051,53.758842,56.173077,32.338848,8805214
2002-01-14,56.734528,62.601681,56.145004,61.141911,35.199406,6343296
2002-01-21,62.320953,64.005302,52.692085,53.141247,30.593424,8633885
2002-01-28,53.337753,57.548630,52.607868,56.734528,32.662075,6347529
2002-02-04,56.706451,58.334660,54.769451,56.173077,32.338848,5080544
2002-02-11,56.594162,62.264809,56.425728,61.591068,35.457989,9161619
2002-02-18,61.787575,63.808796,57.885498,63.556145,36.589287,9548797
2002-02-25,63.443855,65.015915,58.390804,59.485630,34.245884,17913271
2002-03-04,60.496243,63.331566,56.313438,57.885498,33.324692,11896356
2002-03-11,58.811890,58.811890,55.050175,56.173077,32.338848,3521636
2002-03-18,57.267902,59.457558,55.667770,56.060787,32.274208,3314493
2002-03-25,56.060787,56.931034,54.236073,54.881741,31.595432,3256467
2002-04-01,55.246681,56.650307,54.797523,55.751987,32.096428,2055532
2002-04-08,56.706451,59.766357,55.106319,58.868034,33.890339,6376572
2002-04-15,59.345268,63.163128,57.127541,62.012157,35.700405,9040877
2002-04-22,62.601681,63.949158,60.524315,63.696507,36.670086,4513353
2002-04-29,62.657825,65.605438,61.787575,64.229881,36.977150,6481819
2002-05-06,64.426392,69.282936,64.061447,65.858086,37.914513,8237907
2002-05-13,65.689651,67.374001,64.594826,65.998451,37.995319,4151849
2002-05-20,65.970383,65.970383,58.418877,62.966621,36.249893,4848011
2002-05-27,64.566757,66.812553,58.980328,61.506851,35.409508,6796706
2002-06-03,62.629749,70.321617,62.629749,67.289787,40.167561,17577137
2002-06-10,68.103889,77.704681,68.103889,74.139481,44.256363,22464707
2002-06-17,75.795753,76.497566,71.079575,72.876213,43.502285,16404845
2002-06-24,87.473915,87.473915,73.128868,79.052162,47.188923,28530125
2002-07-01,79.585541,82.448936,78.378426,81.101456,48.412209,25670918
2002-07-08,81.410255,82.448936,78.996017,80.568077,48.093815,18045811
2002-07-15,80.568077,80.568077,75.936119,76.497566,45.663998,14520695
2002-07-22,75.795753,76.413353,69.339081,69.675949,41.591938,26143421
2002-07-29,70.012817,71.276085,65.998451,68.131966,40.670284,22269084
2002-08-05,69.619804,71.444519,63.893013,66.110741,39.463741,23599243
2002-08-12,66.559898,68.440758,65.437004,66.756409,39.849159,10624902
2002-08-19,67.374001,68.946068,65.914230,68.412689,40.837852,14189552
2002-08-26,68.328468,69.900528,66.728340,69.367149,41.407600,15082267
2002-09-02,70.349686,71.023430,67.486298,68.468834,40.871372,7357028
2002-09-09,68.244255,69.058357,67.177498,68.047745,40.620003,5587329
2002-09-16,68.216179,68.609192,64.847481,65.773872,39.262653,6515235
2002-09-23,65.689651,65.970383,64.370247,65.521217,39.111835,6852522
2002-09-30,65.661583,66.868698,64.426392,66.279175,39.564285,5851763
2002-10-07,66.194962,69.002213,65.970383,67.767021,40.452427,4513412
2002-10-14,68.496902,69.900528,66.812553,67.037132,40.016735,5406753
2002-10-21,66.840630,68.131966,65.380859,65.633507,39.178860,4242572
2002-10-28,66.110741,72.792000,63.500000,69.704025,41.608692,19213552
2002-11-04,67.935455,72.314766,67.935455,70.490051,42.077904,11170903
2002-11-11,69.984749,80.034698,68.833771,71.135719,42.463318,10772559
2002-11-18,71.865601,75.739609,71.865601,75.009727,44.775856,19542626
2002-11-25,74.672852,78.743370,74.448273,78.322281,46.753227,22983140
2002-12-02,78.631081,80.118919,75.851898,79.052162,47.188923,18406976
2002-12-09,79.725906,80.427719,76.637932,79.164452,47.255939,15430875
2002-12-16,79.164452,80.455788,76.637932,80.175064,47.859211,22108561
2002-12-23,80.568077,84.582451,80.343498,83.992928,50.138229,25342722
2002-12-30,83.656052,98.253754,83.038460,83.627983,49.920383,21982566
2003-01-06,83.852562,85.340408,81.269890,83.908707,50.087948,17213685
2003-01-13,84.217506,86.463303,83.178825,86.098366,51.395039,18193149
2003-01-20,86.294868,91.797081,86.294868,87.726570,52.366978,43618835
2003-01-27,87.445847,88.484528,83.712196,85.368477,50.959339,33577258
2003-02-03,85.621132,89.775864,85.621132,88.484528,52.819408,19952414
2003-02-10,88.596817,88.596817,84.610519,84.863174,50.657707,11460575
2003-02-17,86.154510,88.737175,85.003532,85.171967,50.842037,28918995
2003-02-24,85.593056,86.800179,82.364723,84.442085,50.406334,53974385
2003-03-03,85.059677,85.340408,77.199379,77.452034,46.233738,38682560
2003-03-10,77.423958,78.041557,75.037796,75.795753,45.245056,26947243
2003-03-17,75.795753,80.989166,74.139481,80.652298,48.144085,21323506
2003-03-24,80.848808,80.848808,73.718391,75.150085,44.859627,27497380
2003-03-31,76.272987,79.108307,74.111404,78.827583,47.054852,16237240
2003-04-07,79.164452,81.971703,75.795753,76.918655,45.915356,17378269
2003-04-14,53.820992,76.918655,53.820992,73.942970,44.139061,13660185
2003-04-21,74.111404,75.486954,70.826920,71.865601,42.899006,21624131
2003-04-28,71.360298,74.869362,71.304153,74.335983,44.373665,16939981
2003-05-05,75.234306,76.862511,73.549957,75.009727,44.775856,14841438
2003-05-12,75.234306,79.108307,74.869362,78.041557,46.585648,14246610
2003-05-19,78.153847,81.915558,76.918655,81.522545,48.663574,16364611
